"GEO_ID","NAME","B19013I_001E","B19013I_001EA","B19013I_001M","B19013I_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"8600000US10573","ZCTA5 10573","70117","null","7420","null",
"8600000US10576","ZCTA5 10576","-","-","**","**",
"8600000US10577","ZCTA5 10577","-","-","**","**",
"8600000US10578","ZCTA5 10578","-","-","**","**",
"8600000US10579","ZCTA5 10579","92357","null","52703","null",
"8600000US10580","ZCTA5 10580","124643","null","117879","null",
"8600000US10583","ZCTA5 10583","133450","null","18415","null",
"8600000US10588","ZCTA5 10588","-","-","**","**",
"8600000US10589","ZCTA5 10589","-","-","**","**",
"8600000US10590","ZCTA5 10590","189050","null","39146","null",
"8600000US10591","ZCTA5 10591","48229","null","9609","null",
"8600000US10594","ZCTA5 10594","112344","null","94742","null",
"8600000US10595","ZCTA5 10595","-","-","**","**",
"8600000US10596","ZCTA5 10596","250,000+","250,000+","***","***",
"8600000US10597","ZCTA5 10597","-","-","**","**",
"8600000US10598","ZCTA5 10598","122361","null","33459","null",
"8600000US10601","ZCTA5 10601","49196","null","20177","null",
"8600000US10603","ZCTA5 10603","73902","null","12568","null",
"8600000US10604","ZCTA5 10604","68975","null","21330","null",
"8600000US10605","ZCTA5 10605","80750","null","48377","null",
"8600000US10606","ZCTA5 10606","56932","null","17126","null",
"8600000US10607","ZCTA5 10607","95543","null","42510","null",
"8600000US10701","ZCTA5 10701","37110","null","4232","null",
"8600000US10703","ZCTA5 10703","60528","null","11568","null",
"8600000US10704","ZCTA5 10704","83443","null","15601","null",
"8600000US10705","ZCTA5 10705","47284","null","6834","null",
"8600000US10706","ZCTA5 10706","65192","null","34664","null",
"8600000US10707","ZCTA5 10707","86680","null","36400","null",
"8600000US10708","ZCTA5 10708","100461","null","28084","null",
"8600000US10709","ZCTA5 10709","143542","null","70325","null",
"8600000US10710","ZCTA5 10710","100742","null","21218","null",
"8600000US10801","ZCTA5 10801","62976","null","13211","null",
"8600000US10803","ZCTA5 10803","143750","null","62566","null",
"8600000US10804","ZCTA5 10804","181270","null","30578","null",
"8600000US10805","ZCTA5 10805","69276","null","8535","null",
"8600000US10901","ZCTA5 10901","93536","null","31504","null",
"8600000US10910","ZCTA5 10910","-","-","**","**",
"8600000US10911","ZCTA5 10911","-","-","**","**",
"8600000US10913","ZCTA5 10913","-","-","**","**",
"8600000US10914","ZCTA5 10914","-","-","**","**",
"8600000US10915","ZCTA5 10915","-","-","**","**",
"8600000US10916","ZCTA5 10916","59167","null","22825","null",
"8600000US10917","ZCTA5 10917","117130","null","33669","null",
"8600000US10918","ZCTA5 10918","127625","null","40282","null",
"8600000US10919","ZCTA5 10919","-","-","**","**",
"8600000US10920","ZCTA5 10920","122750","null","48713","null",
"8600000US10921","ZCTA5 10921","104948","null","92150","null",
"8600000US10922","ZCTA5 10922","-","-","**","**",
"8600000US10923","ZCTA5 10923","63378","null","12618","null",
"8600000US10924","ZCTA5 10924","47857","null","28700","null",
"8600000US10925","ZCTA5 10925","93178","null","65412","null",
"8600000US10926","ZCTA5 10926","92250","null","51583","null",
"8600000US10927","ZCTA5 10927","52197","null","9995","null",
"8600000US10928","ZCTA5 10928","62188","null","46761","null",
"8600000US10930","ZCTA5 10930","135455","null","32002","null",
"8600000US10931","ZCTA5 10931","47000","null","20050","null",
"8600000US10932","ZCTA5 10932","-","-","**","**",
"8600000US10933","ZCTA5 10933","-","-","**","**",
"8600000US10940","ZCTA5 10940","59107","null","10836","null",
"8600000US10941","ZCTA5 10941","78410","null","11012","null",
"8600000US10950","ZCTA5 10950","76603","null","21326","null",
"8600000US10952","ZCTA5 10952","88125","null","54505","null",
"8600000US10953","ZCTA5 10953","-","-","**","**",
"8600000US10954","ZCTA5 10954","98348","null","51130","null",
"8600000US10956","ZCTA5 10956","104688","null","37802","null",
"8600000US10958","ZCTA5 10958","104107","null","65641","null",
"8600000US10960","ZCTA5 10960","69625","null","44306","null",
"8600000US10962","ZCTA5 10962","-","-","**","**",
"8600000US10963","ZCTA5 10963","143085","null","88126","null",
"8600000US10964","ZCTA5 10964","-","-","**","**",
"8600000US10965","ZCTA5 10965","44933","null","38871","null",
"8600000US10968","ZCTA5 10968","-","-","**","**",
"8600000US10969","ZCTA5 10969","-","-","**","**",
"8600000US10970","ZCTA5 10970","67929","null","34392","null",
"8600000US10973","ZCTA5 10973","162708","null","37957","null",
"8600000US10974","ZCTA5 10974","129444","null","60356","null",
"8600000US10975","ZCTA5 10975","126250","null","68517","null",
"8600000US10976","ZCTA5 10976","118589","null","59525","null",
"8600000US10977","ZCTA5 10977","51078","null","9272","null",
"8600000US10979","ZCTA5 10979","-","-","**","**",
"8600000US10980","ZCTA5 10980","118707","null","21228","null",
"8600000US10983","ZCTA5 10983","138611","null","133837","null",
"8600000US10984","ZCTA5 10984","128047","null","105349","null",
"8600000US10985","ZCTA5 10985","-","-","**","**",
"8600000US10986","ZCTA5 10986","183097","null","53135","null",
"8600000US10987","ZCTA5 10987","132083","null","125077","null",
"8600000US10988","ZCTA5 10988","185781","null","113980","null",
"8600000US10989","ZCTA5 10989","111087","null","27874","null",
"8600000US10990","ZCTA5 10990","103224","null","50898","null",
"8600000US10992","ZCTA5 10992","94722","null","56804","null",
"8600000US10993","ZCTA5 10993","68221","null","29726","null",
"8600000US10994","ZCTA5 10994","-","-","**","**",
"8600000US10996","ZCTA5 10996","-","-","**","**",
"8600000US10998","ZCTA5 10998","60250","null","48800","null",
"8600000US11001","ZCTA5 11001","106841","null","12599","null",
"8600000US11003","ZCTA5 11003","103843","null","8992","null",
"8600000US11004","ZCTA5 11004","102045","null","28145","null",
"8600000US11005","ZCTA5 11005","-","-","**","**",
"8600000US11010","ZCTA5 11010","90896","null","21626","null",
"8600000US11020","ZCTA5 11020","170682","null","152544","null",
"8600000US11021","ZCTA5 11021","88250","null","34223","null",
"8600000US11023","ZCTA5 11023","-","-","**","**",
"8600000US11024","ZCTA5 11024","66719","null","51831","null",
"8600000US11030","ZCTA5 11030","237450","null","66579","null",
"8600000US11040","ZCTA5 11040","110938","null","22729","null",
"8600000US11042","ZCTA5 11042","-","-","**","**",
"8600000US11050","ZCTA5 11050","53896","null","16655","null",
"8600000US11096","ZCTA5 11096","56200","null","13839","null",
"8600000US11101","ZCTA5 11101","45676","null","6764","null",
"8600000US11102","ZCTA5 11102","44079","null","10052","null",
"8600000US11103","ZCTA5 11103","65646","null","4858","null",
"8600000US11104","ZCTA5 11104","55565","null","4931","null",
"8600000US11105","ZCTA5 11105","64957","null","6501","null",
"8600000US11106","ZCTA5 11106","54779","null","10326","null",
"8600000US11109","ZCTA5 11109","-","-","**","**",
"8600000US11201","ZCTA5 11201","45330","null","8298","null",
"8600000US11203","ZCTA5 11203","42233","null","7908","null",
"8600000US11204","ZCTA5 11204","51667","null","6368","null",
"8600000US11205","ZCTA5 11205","41667","null","7101","null",
"8600000US11206","ZCTA5 11206","29911","null","2945","null",
"8600000US11207","ZCTA5 11207","35114","null","3414","null",
"8600000US11208","ZCTA5 11208","47535","null","4619","null",
"8600000US11209","ZCTA5 11209","72335","null","5614","null",
"8600000US11210","ZCTA5 11210","54894","null","8072","null",
"8600000US11211","ZCTA5 11211","43559","null","4758","null",
"8600000US11212","ZCTA5 11212","18948","null","3083","null",
"8600000US11213","ZCTA5 11213","39688","null","8894","null",
"8600000US11214","ZCTA5 11214","63152","null","3856","null",
"8600000US11215","ZCTA5 11215","82065","null","13955","null",
"8600000US11216","ZCTA5 11216","58969","null","10577","null",
"8600000US11217","ZCTA5 11217","47979","null","8373","null",
"8600000US11218","ZCTA5 11218","50357","null","8638","null",
"8600000US11219","ZCTA5 11219","47031","null","8870","null",
"8600000US11220","ZCTA5 11220","44785","null","3517","null",
"8600000US11221","ZCTA5 11221","43750","null","4663","null",
"8600000US11222","ZCTA5 11222","71262","null","7380","null",
"8600000US11223","ZCTA5 11223","34803","null","15723","null",
"8600000US11224","ZCTA5 11224","26885","null","5951","null",
"8600000US11225","ZCTA5 11225","48821","null","24970","null",
"8600000US11226","ZCTA5 11226","49010","null","6551","null",
"8600000US11228","ZCTA5 11228","57318","null","8386","null",
"8600000US11229","ZCTA5 11229","57880","null","11458","null",
"8600000US11230","ZCTA5 11230","49269","null","8568","null",
"8600000US11231","ZCTA5 11231","25254","null","6696","null",
"8600000US11232","ZCTA5 11232","46305","null","5275","null",
"8600000US11233","ZCTA5 11233","33853","null","2864","null",
"8600000US11234","ZCTA5 11234","67431","null","7300","null",
"8600000US11235","ZCTA5 11235","50330","null","8951","null",
"8600000US11236","ZCTA5 11236","50795","null","19941","null",
"8600000US11237","ZCTA5 11237","39279","null","5287","null",
"8600000US11238","ZCTA5 11238","62788","null","9187","null",
"8600000US11239","ZCTA5 11239","30321","null","8994","null",
"8600000US11351","ZCTA5 11351","-","-","**","**",
"8600000US11354","ZCTA5 11354","46793","null","8243","null",
"8600000US11355","ZCTA5 11355","54086","null","10286","null",
"8600000US11356","ZCTA5 11356","61970","null","8604","null",
"8600000US11357","ZCTA5 11357","86584","null","18453","null",
"8600000US11358","ZCTA5 11358","63826","null","8109","null",
"8600000US11359","ZCTA5 11359","-","-","**","**",
"8600000US11360","ZCTA5 11360","84940","null","9170","null",
"8600000US11361","ZCTA5 11361","91364","null","16812","null",
"8600000US11362","ZCTA5 11362","57200","null","41768","null",
"8600000US11363","ZCTA5 11363","140250","null","26222","null",
"8600000US11364","ZCTA5 11364","95027","null","17358","null",
"8600000US11365","ZCTA5 11365","75729","null","16655","null",
"8600000US11366","ZCTA5 11366","67153","null","7712","null",
"8600000US11367","ZCTA5 11367","59271","null","15815","null",
"8600000US11368","ZCTA5 11368","56235","null","2462","null",
"8600000US11369","ZCTA5 11369","50560","null","3390","null",
"8600000US11370","ZCTA5 11370","61029","null","9731","null",
"8600000US11371","ZCTA5 11371","-","-","**","**",
"8600000US11372","ZCTA5 11372","51757","null","5649","null",
"8600000US11373","ZCTA5 11373","52674","null","2658","null",
"8600000US11374","ZCTA5 11374","63641","null","17853","null",
"8600000US11375","ZCTA5 11375","78837","null","6818","null",
"8600000US11377","ZCTA5 11377","55361","null","4743","null",
"8600000US11378","ZCTA5 11378","72202","null","9202","null",
"8600000US11379","ZCTA5 11379","59688","null","16183","null",
"8600000US11385","ZCTA5 11385","70853","null","4576","null",
"8600000US11411","ZCTA5 11411","88661","null","23979","null",
"8600000US11412","ZCTA5 11412","90508","null","15979","null",
"8600000US11413","ZCTA5 11413","87344","null","26258","null",
"8600000US11414","ZCTA5 11414","60719","null","12214","null",
"8600000US11415","ZCTA5 11415","62529","null","8702","null",
"8600000US11416","ZCTA5 11416","75099","null","7495","null",
"8600000US11417","ZCTA5 11417","86641","null","13127","null",
"8600000US11418","ZCTA5 11418","64741","null","6042","null",
"8600000US11419","ZCTA5 11419","71532","null","8050","null",
"8600000US11420","ZCTA5 11420","82569","null","15132","null",
"8600000US11421","ZCTA5 11421","76028","null","5257","null",
"8600000US11422","ZCTA5 11422","81382","null","12472","null",
"8600000US11423","ZCTA5 11423","59617","null","10248","null",
"8600000US11424","ZCTA5 11424","-","-","**","**",
"8600000US11425","ZCTA5 11425","-","-","**","**",
"8600000US11426","ZCTA5 11426","110694","null","25915","null",
"8600000US11427","ZCTA5 11427","76890","null","6519","null",
"8600000US11428","ZCTA5 11428","75958","null","17994","null",
"8600000US11429","ZCTA5 11429","94625","null","16290","null",
"8600000US11430","ZCTA5 11430","-","-","**","**",
"8600000US11432","ZCTA5 11432","53879","null","4382","null",
"8600000US11433","ZCTA5 11433","49419","null","4568","null",
"8600000US11434","ZCTA5 11434","69917","null","14936","null",
"8600000US11435","ZCTA5 11435","58179","null","3794","null",
"8600000US11436","ZCTA5 11436","84395","null","16830","null",
"8600000US11451","ZCTA5 11451","-","-","**","**",
"8600000US11501","ZCTA5 11501","103750","null","38481","null",
"8600000US11507","ZCTA5 11507","170382","null","77201","null",
"8600000US11509","ZCTA5 11509","98558","null","65408","null",
"8600000US11510","ZCTA5 11510","84957","null","34126","null",
"8600000US11514","ZCTA5 11514","91484","null","21992","null",
"8600000US11516","ZCTA5 11516","96667","null","65255","null",
"8600000US11518","ZCTA5 11518","-","-","**","**",
"8600000US11520","ZCTA5 11520","71812","null","12434","null",
"8600000US11530","ZCTA5 11530","200500","null","66407","null",
"8600000US11542","ZCTA5 11542","62051","null","9373","null",
"8600000US11545","ZCTA5 11545","28125","null","26871","null",
"8600000US11547","ZCTA5 11547","-","-","**","**",
"8600000US11548","ZCTA5 11548","-","-","**","**",
"8600000US11549","ZCTA5 11549","-","-","**","**",
"8600000US11550","ZCTA5 11550","63436","null","5816","null",
"8600000US11552","ZCTA5 11552","110855","null","14173","null",
"8600000US11553","ZCTA5 11553","60074","null","11243","null",
"8600000US11554","ZCTA5 11554","82936","null","25727","null",
"8600000US11556","ZCTA5 11556","-","-","**","**",
"8600000US11557","ZCTA5 11557","85156","null","18964","null",
"8600000US11558","ZCTA5 11558","81339","null","24073","null",
"8600000US11559","ZCTA5 11559","53074","null","9896","null",
"8600000US11560","ZCTA5 11560","-","-","**","**",
"8600000US11561","ZCTA5 11561","92027","null","12483","null",
"8600000US11563","ZCTA5 11563","116182","null","43012","null",
"8600000US11565","ZCTA5 11565","121818","null","41857","null",
"8600000US11566","ZCTA5 11566","149792","null","36701","null",
"8600000US11568","ZCTA5 11568","-","-","**","**",
"8600000US11569","ZCTA5 11569","-","-","**","**",
"8600000US11570","ZCTA5 11570","69950","null","51602","null",
"8600000US11572","ZCTA5 11572","73750","null","50778","null",
"8600000US11575","ZCTA5 11575","84067","null","17120","null",
"8600000US11576","ZCTA5 11576","194750","null","154843","null",
"8600000US11577","ZCTA5 11577","105294","null","73296","null",
"8600000US11579","ZCTA5 11579","137750","null","97973","null",
"8600000US11580","ZCTA5 11580","116910","null","9372","null",
"8600000US11581","ZCTA5 11581","128125","null","41347","null",
"8600000US11590","ZCTA5 11590","98925","null","7266","null",
"8600000US11596","ZCTA5 11596","141635","null","37174","null",
"8600000US11598","ZCTA5 11598","66726","null","27285","null",
"8600000US11691","ZCTA5 11691","42119","null","5298","null",
"8600000US11692","ZCTA5 11692","43145","null","6455","null",
"8600000US11693","ZCTA5 11693","52316","null","29587","null",
"8600000US11694","ZCTA5 11694","47083","null","29542","null",
"8600000US11697","ZCTA5 11697","-","-","**","**",
"8600000US11701","ZCTA5 11701","107905","null","24734","null",
"8600000US11702","ZCTA5 11702","47794","null","38485","null",
"8600000US11703","ZCTA5 11703","81172","null","19519","null",
"8600000US11704","ZCTA5 11704","101354","null","15980","null",
"8600000US11705","ZCTA5 11705","74881","null","50854","null",
"8600000US11706","ZCTA5 11706","83342","null","7464","null",
"8600000US11709","ZCTA5 11709","119417","null","100399","null",
"8600000US11710","ZCTA5 11710","127188","null","52439","null",
"8600000US11713","ZCTA5 11713","46250","null","16893","null",
"8600000US11714","ZCTA5 11714","133214","null","62240","null",
"8600000US11715","ZCTA5 11715","126563","null","67208","null",
"8600000US11716","ZCTA5 11716","-","-","**","**",
"8600000US11717","ZCTA5 11717","85558","null","7163","null",
"8600000US11718","ZCTA5 11718","-","-","**","**",
"8600000US11719","ZCTA5 11719","65563","null","55820","null",
"8600000US11720","ZCTA5 11720","105722","null","9048","null",
"8600000US11721","ZCTA5 11721","-","-","**","**",
"8600000US11722","ZCTA5 11722","71169","null","12835","null",
"8600000US11724","ZCTA5 11724","250,000+","250,000+","***","***",
"8600000US11725","ZCTA5 11725","132461","null","59700","null",
"8600000US11726","ZCTA5 11726","69577","null","12680","null",
"8600000US11727","ZCTA5 11727","81761","null","10957","null",
"8600000US11729","ZCTA5 11729","81250","null","13360","null",
"8600000US11730","ZCTA5 11730","102446","null","84201","null",
"8600000US11731","ZCTA5 11731","111701","null","31914","null",
"8600000US11732","ZCTA5 11732","-","-","**","**",
"8600000US11733","ZCTA5 11733","181250","null","57538","null",
"8600000US11735","ZCTA5 11735","107961","null","13098","null",
"8600000US11738","ZCTA5 11738","103359","null","30111","null",
"8600000US11739","ZCTA5 11739","-","-","**","**",
"8600000US11740","ZCTA5 11740","121250","null","56999","null",
"8600000US11741","ZCTA5 11741","112898","null","16491","null",
"8600000US11742","ZCTA5 11742","144297","null","48086","null",
"8600000US11743","ZCTA5 11743","97885","null","40959","null",
"8600000US11746","ZCTA5 11746","73337","null","11805","null",
"8600000US11747","ZCTA5 11747","85000","null","73176","null",
"8600000US11749","ZCTA5 11749","96607","null","17922","null",
"8600000US11751","ZCTA5 11751","107308","null","66111","null",
"8600000US11752","ZCTA5 11752","193125","null","46779","null",
"8600000US11753","ZCTA5 11753","-","-","**","**",
"8600000US11754","ZCTA5 11754","115096","null","65816","null",
"8600000US11755","ZCTA5 11755","113958","null","11879","null",
"8600000US11756","ZCTA5 11756","127314","null","9121","null",
"8600000US11757","ZCTA5 11757","83971","null","12175","null",
"8600000US11758","ZCTA5 11758","123469","null","48484","null",
"8600000US11762","ZCTA5 11762","147578","null","31868","null",
"8600000US11763","ZCTA5 11763","92500","null","21334","null",
"8600000US11764","ZCTA5 11764","129219","null","46359","null",
"8600000US11765","ZCTA5 11765","250,000+","250,000+","***","***",
"8600000US11766","ZCTA5 11766","137545","null","135728","null",
"8600000US11767","ZCTA5 11767","100505","null","62028","null",
"8600000US11768","ZCTA5 11768","-","-","**","**",
"8600000US11769","ZCTA5 11769","-","-","**","**",
"8600000US11770","ZCTA5 11770","-","-","**","**",
"8600000US11771","ZCTA5 11771","44591","null","37022","null",
"8600000US11772","ZCTA5 11772","77215","null","29318","null",
"8600000US11776","ZCTA5 11776","83519","null","20784","null",
"8600000US11777","ZCTA5 11777","66518","null","51530","null",
"8600000US11778","ZCTA5 11778","205813","null","30157","null",
"8600000US11779","ZCTA5 11779","99118","null","11273","null",
"8600000US11780","ZCTA5 11780","112188","null","64526","null",
"8600000US11782","ZCTA5 11782","123750","null","18856","null",
"8600000US11783","ZCTA5 11783","180585","null","50214","null",
"8600000US11784","ZCTA5 11784","67045","null","25549","null",
"8600000US11786","ZCTA5 11786","129444","null","56226","null",
"8600000US11787","ZCTA5 11787","140227","null","79855","null",
"8600000US11788","ZCTA5 11788","108958","null","35970","null",
"8600000US11789","ZCTA5 11789","71316","null","16086","null",
"8600000US11790","ZCTA5 11790","155057","null","125145","null",
"8600000US11791","ZCTA5 11791","173750","null","141054","null",
