Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
BROOKLYN/QUEENS,67AV,260,2018/6/20
BROOKLYN/QUEENS,68AV,,
BROOKLYN/QUEENS,69AV,,
BROOKLYN/QUEENS,70AU,,
BROOKLYN/QUEENS,71AU,,
BROOKLYN/QUEENS,72AU,,
BROOKLYN/QUEENS,73AU,,
BROOKLYN/QUEENS,74AU,,
BROOKLYN/QUEENS,75AU,,
BROOKLYN/QUEENS,70AT,,
BROOKLYN/QUEENS,74AX,,
BROOKLYN/QUEENS,75AX,,
BROOKLYN/QUEENS,76AX,,
BROOKLYN/QUEENS,67AS,705,2018/6/20
BROOKLYN/QUEENS,68AS,,
BROOKLYN/QUEENS,69AS,120,2018/6/20
BROOKLYN/QUEENS,70AS,,
BROOKLYN/QUEENS,71AS,,
BROOKLYN/QUEENS,72AS,345,2018/6/20
BROOKLYN/QUEENS,73AS,,
BROOKLYN/QUEENS,74AS,,
BROOKLYN/QUEENS,75AS,,
BROOKLYN/QUEENS,76AS,,
BROOKLYN/QUEENS,63AQ,35,2018/6/20
BROOKLYN/QUEENS,63AP,320,2018/6/20
BROOKLYN/QUEENS,64AP,50,2018/6/20
BROOKLYN/QUEENS,65AP,,
BROOKLYN/QUEENS,63AS,20,2018/6/20
BROOKLYN/QUEENS,64AS,65,2018/6/20
BROOKLYN/QUEENS,65AS,,
BROOKLYN/QUEENS,66AS,,
BROOKLYN/QUEENS,64AR,50,2018/6/20
BROOKLYN/QUEENS,66AR,,
BROOKLYN/QUEENS,67AR,60,2018/6/20
BROOKLYN/QUEENS,68AR,,
BROOKLYN/QUEENS,72AR,150,2018/6/20
BROOKLYN/QUEENS,73AR,,
BROOKLYN/QUEENS,74AR,,
BROOKLYN/QUEENS,75AR,,
BROOKLYN/QUEENS,72AQ,,
BROOKLYN/QUEENS,73AQ,30,2018/6/20
BROOKLYN/QUEENS,58BS,,
BROOKLYN/QUEENS,59BS,,
BROOKLYN/QUEENS,61AZ,40,2018/6/20
BROOKLYN/QUEENS,62AZ,180,2018/6/20
BROOKLYN/QUEENS,63AZ,180,2018/6/20
BROOKLYN/QUEENS,64AZ,185,2018/6/20
BROOKLYN/QUEENS,65AZ,75,2018/6/20
BROOKLYN/QUEENS,66AZ,45,2018/6/20
BROOKLYN/QUEENS,67AZ,,
BROOKLYN/QUEENS,68AZ,,
BROOKLYN/QUEENS,69AZ,,
BROOKLYN/QUEENS,70AZ,,
BROOKLYN/QUEENS,71AZ,,
BROOKLYN/QUEENS,72AZ,,
BROOKLYN/QUEENS,73AZ,,
BROOKLYN/QUEENS,74AZ,,
BROOKLYN/QUEENS,75AZ,,
BROOKLYN/QUEENS,58BQ,45,2018/6/20
BROOKLYN/QUEENS,59BQ,20,2018/6/20
BROOKLYN/QUEENS,60BQ,,
BROOKLYN/QUEENS,61BQ,,
