ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip
1649,BROOKLYN/QUEENS,60AD,610,2018-06-20 00:00:00,60,AD,73.91784516,40.74362391,11104
1686,BROOKLYN/QUEENS,61AD,630,2018-06-20 00:00:00,61,AD,73.91837896,40.74632181,11104
1685,BROOKLYN/QUEENS,61AC,700,2018-06-20 00:00:00,61,AC,73.92332107,40.74575625,11104
1551,BROOKLYN/QUEENS,57AE,840,2018-06-20 00:00:00,57,AE,73.91130165,40.73609578,11104
1648,BROOKLYN/QUEENS,60AC,870,2018-06-20 00:00:00,60,AC,73.92278728,40.74305835,11104
2019,BROOKLYN/QUEENS,76AF,30,2018-06-20 00:00:00,76,AF,73.91650166,40.78792138,11105
2007,BROOKLYN/QUEENS,73AI,70,2018-06-20 00:00:00,73,AI,73.90007391,40.78152436,11105
1947,BROOKLYN/QUEENS,69AH,80,2018-06-20 00:00:00,69,AH,73.90288085,40.77016721,11105
2006,BROOKLYN/QUEENS,73AG,85,2018-06-20 00:00:00,73,AG,73.90995815,40.78039325,11105
2012,BROOKLYN/QUEENS,74AF,135,2018-06-20 00:00:00,74,AF,73.91543407,40.78252559,11105
1981,BROOKLYN/QUEENS,71AG,150,2018-06-20 00:00:00,71,AG,73.90889056,40.77499745,11105
2017,BROOKLYN/QUEENS,75AG,155,2018-06-20 00:00:00,75,AG,73.91102574,40.78578904,11105
1994,BROOKLYN/QUEENS,72AE,165,2018-06-20 00:00:00,72,AE,73.91930859,40.77656424,11105
1964,BROOKLYN/QUEENS,70AF,170,2018-06-20 00:00:00,70,AF,73.91329888,40.771734,11105
1966,BROOKLYN/QUEENS,70AH,175,2018-06-20 00:00:00,70,AH,73.90341464,40.77286511,11105
2005,BROOKLYN/QUEENS,73AF,180,2018-06-20 00:00:00,73,AF,73.91490027,40.77982769,11105
1998,BROOKLYN/QUEENS,72AI,185,2018-06-20 00:00:00,72,AI,73.89954012,40.77882646,11105
1982,BROOKLYN/QUEENS,71AH,210,2018-06-20 00:00:00,71,AH,73.90394844,40.77556301,11105
2004,BROOKLYN/QUEENS,73AE,215,2018-06-20 00:00:00,73,AE,73.91984239,40.77926213,11105
2018,BROOKLYN/QUEENS,75AH,295,2018-06-20 00:00:00,75,AH,73.90608362,40.7863546,11105
1996,BROOKLYN/QUEENS,72AG,310,2018-06-20 00:00:00,72,AG,73.90942436,40.77769535,11105
1995,BROOKLYN/QUEENS,72AF,330,2018-06-20 00:00:00,72,AF,73.91436647,40.77712979,11105
1965,BROOKLYN/QUEENS,70AG,340,2018-06-20 00:00:00,70,AG,73.90835676,40.77229955,11105
1997,BROOKLYN/QUEENS,72AH,375,2018-06-20 00:00:00,72,AH,73.90448224,40.77826091,11105
2016,BROOKLYN/QUEENS,75AF,535,2018-06-20 00:00:00,75,AF,73.91596786,40.78522348,11105
1946,BROOKLYN/QUEENS,69AG,555,2018-06-20 00:00:00,69,AG,73.90782297,40.76960166,11105
1980,BROOKLYN/QUEENS,71AF,870,2018-06-20 00:00:00,71,AF,73.91383268,40.77443189,11105
1967,BROOKLYN/QUEENS,70AI,900,2018-06-20 00:00:00,70,AI,73.89847253,40.77343067,11105
1983,BROOKLYN/QUEENS,71AI,2335,2018-06-20 00:00:00,71,AI,73.89900632,40.77612856,11105
1940,BROOKLYN/QUEENS,69AA,75,2018-06-20 00:00:00,69,AA,73.93747568,40.76620832,11106
1939,BROOKLYN/QUEENS,68Z,260,2018-06-20 00:00:00,68,Z,73.941884,40.76294486,11106
1959,BROOKLYN/QUEENS,70AA,300,2018-06-20 00:00:00,70,AA,73.93800948,40.76890621,11106
1866,BROOKLYN/QUEENS,66AC,320,2018-06-20 00:00:00,66,AC,73.92599005,40.75924574,11106
1864,BROOKLYN/QUEENS,66AA,370,2018-06-20 00:00:00,66,AA,73.93587429,40.75811463,11106
1893,BROOKLYN/QUEENS,67AD,375,2018-06-20 00:00:00,67,AD,73.92158173,40.76250919,11106
1941,BROOKLYN/QUEENS,69AB,430,2018-06-20 00:00:00,69,AB,73.93253356,40.76677387,11106
1916,BROOKLYN/QUEENS,67Z,445,2018-06-20 00:00:00,67,Z,73.94135021,40.76024697,11106
1919,BROOKLYN/QUEENS,68AC,445,2018-06-20 00:00:00,68,AC,73.92705765,40.76464153,11106
1958,BROOKLYN/QUEENS,69Z,495,2018-06-20 00:00:00,69,Z,73.9424178,40.76564276,11106
1835,BROOKLYN/QUEENS,65AB,505,2018-06-20 00:00:00,65,AB,73.93039838,40.75598228,11106
1865,BROOKLYN/QUEENS,66AB,510,2018-06-20 00:00:00,66,AB,73.93093217,40.75868018,11106
1891,BROOKLYN/QUEENS,67AB,560,2018-06-20 00:00:00,67,AB,73.93146597,40.76137808,11106
1890,BROOKLYN/QUEENS,67AA,575,2018-06-20 00:00:00,67,AA,73.93640809,40.76081252,11106
1917,BROOKLYN/QUEENS,68AA,620,2018-06-20 00:00:00,68,AA,73.93694188,40.76351042,11106
1867,BROOKLYN/QUEENS,66AD,640,2018-06-20 00:00:00,66,AD,73.92104794,40.7598113,11106
1918,BROOKLYN/QUEENS,68AB,685,2018-06-20 00:00:00,68,AB,73.93199977,40.76407598,11106
1892,BROOKLYN/QUEENS,67AC,690,2018-06-20 00:00:00,67,AC,73.92652385,40.76194364,11106
1836,BROOKLYN/QUEENS,65AC,870,2018-06-20 00:00:00,65,AC,73.92545626,40.75654784,11106
1677,BROOKLYN/QUEENS,60U,100,2018-06-20 00:00:00,60,U,73.96232423,40.7385339,11109
1860,BROOKLYN/QUEENS,65W,155,2018-06-20 00:00:00,65,W,73.95510897,40.7531545,11109
1678,BROOKLYN/QUEENS,60V,240,2018-06-20 00:00:00,60,V,73.95738211,40.73909946,11109
1609,BROOKLYN/QUEENS,58U,400,2018-06-20 00:00:00,58,U,73.96125664,40.73313811,11109
1718,BROOKLYN/QUEENS,61U,450,2018-06-20 00:00:00,61,U,73.96285802,40.7412318,11109
1719,BROOKLYN/QUEENS,61V,620,2018-06-20 00:00:00,61,V,73.95791591,40.74179736,11109
1794,BROOKLYN/QUEENS,63V,710,2018-06-20 00:00:00,63,V,73.9589835,40.74719315,11109
1679,BROOKLYN/QUEENS,60W,1235,2018-06-20 00:00:00,60,W,73.95243999,40.73966502,11109
1758,BROOKLYN/QUEENS,62V,1465,2018-06-20 00:00:00,62,V,73.9584497,40.74449525,11109
1244,BROOKLYN/QUEENS,47L,50,2018-06-20 00:00:00,47,L,73.99986395,40.69837123,11201
1288,BROOKLYN/QUEENS,48P,75,2018-06-20 00:00:00,48,P,73.98062927,40.70333135,11201
1323,BROOKLYN/QUEENS,49P,130,2018-06-20 00:00:00,49,P,73.98116307,40.70602925,11201
1093,BROOKLYN/QUEENS,44K,165,2018-06-20 00:00:00,44,K,74.00320468,40.68971198,11201
1143,BROOKLYN/QUEENS,45L,420,2018-06-20 00:00:00,45,L,73.99879636,40.69297543,11201
1041,BROOKLYN/QUEENS,43L,450,2018-06-20 00:00:00,43,L,73.99772877,40.68757964,11201
1042,BROOKLYN/QUEENS,43M,460,2018-06-20 00:00:00,43,M,73.99278665,40.68814519,11201
995,BROOKLYN/QUEENS,42M,620,2018-06-20 00:00:00,42,M,73.99225285,40.6854473,11201
1196,BROOKLYN/QUEENS,46L,630,2018-06-20 00:00:00,46,L,73.99933015,40.69567333,11201
1247,BROOKLYN/QUEENS,47O,670,2018-06-20 00:00:00,47,O,73.98503759,40.7000679,11201
1285,BROOKLYN/QUEENS,48M,705,2018-06-20 00:00:00,48,M,73.99545563,40.70163468,11201
1322,BROOKLYN/QUEENS,49O,735,2018-06-20 00:00:00,49,O,73.98610519,40.70546369,11201
1094,BROOKLYN/QUEENS,44L,760,2018-06-20 00:00:00,44,L,73.99826256,40.69027754,11201
1043,BROOKLYN/QUEENS,43N,765,2018-06-20 00:00:00,43,N,73.98784453,40.68871075,11201
1246,BROOKLYN/QUEENS,47N,800,2018-06-20 00:00:00,47,N,73.98997971,40.69950234,11201
