,ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Lat,Long,Zip,ZCTA
103,116,MANHATTAN,17G,1795,2018-06-20 00:00:00,17,G,40.73711973,73.99899577,10011,10011
104,138,MANHATTAN,19G,1970,2018-06-20 00:00:00,19,G,40.74119611,73.99602745,10011,10011
105,137,MANHATTAN,19F,2270,2018-06-20 00:00:00,19,F,40.74272232,73.99965708,10011,10011
106,135,MANHATTAN,19D,2275,2018-06-20 00:00:00,19,D,40.74577475,74.00691635,10011,10011
107,117,MANHATTAN,17H,2405,2018-06-20 00:00:00,17,H,40.73559352,73.99536614,10011,10011
108,149,MANHATTAN,20G,2495,2018-06-20 00:00:00,20,G,40.7432343,73.99454328,10011,10011
109,124,MANHATTAN,18D,2930,2018-06-20 00:00:00,18,D,40.74373656,74.00840051,10011,10011
110,128,MANHATTAN,18H,3430,2018-06-20 00:00:00,18,H,40.73763171,73.99388198,10011,10011
111,139,MANHATTAN,19H,3545,2018-06-20 00:00:00,19,H,40.73966989,73.99239781,10011,10011
112,126,MANHATTAN,18F,4410,2018-06-20 00:00:00,18,F,40.74068413,74.00114124,10011,10011
113,125,MANHATTAN,18E,5365,2018-06-20 00:00:00,18,E,40.74221035,74.00477088,10011,10011
114,95,MANHATTAN,15H,520,2018-06-20 00:00:00,15,H,40.73151714,73.99833447,10012,10012
115,73,MANHATTAN,13H,750,2018-06-20 00:00:00,13,H,40.72744076,74.0013028,10012,10012
116,65,MANHATTAN,12J,910,2018-06-20 00:00:00,12,J,40.72235015,73.9955277,10012,10012
117,75,MANHATTAN,13J,1620,2018-06-20 00:00:00,13,J,40.72438833,73.99404353,10012,10012
118,63,MANHATTAN,12H,1750,2018-06-20 00:00:00,12,H,40.72540257,74.00278696,10012,10012
119,86,MANHATTAN,14J,2025,2018-06-20 00:00:00,14,J,40.72642652,73.99255937,10012,10012
120,84,MANHATTAN,14H,2180,2018-06-20 00:00:00,14,H,40.72947895,73.99981863,10012,10012
121,96,MANHATTAN,15I,2194,2018-06-20 00:00:00,15,I,40.72999093,73.99470484,10012,10012
122,85,MANHATTAN,14I,2270,2018-06-20 00:00:00,14,I,40.72795274,73.996189,10012,10012
123,64,MANHATTAN,12I,3905,2018-06-20 00:00:00,12,I,40.72387636,73.99915733,10012,10012
124,48,MANHATTAN,10J,1325,2018-06-20 00:00:00,10,J,40.71827377,73.99849602,10013,10013
125,45,MANHATTAN,10G,1800,2018-06-20 00:00:00,10,G,40.72285241,74.00938492,10013,10013
126,55,MANHATTAN,11J,1890,2018-06-20 00:00:00,11,J,40.72031196,73.99701186,10013,10013
127,40,MANHATTAN,9I,2065,2018-06-20 00:00:00,9,I,40.71776179,74.00360982,10013,10013
128,39,MANHATTAN,9H,2250,2018-06-20 00:00:00,9,H,40.71928801,74.00723945,10013,10013
129,41,MANHATTAN,9J,2250,2018-06-20 00:00:00,9,J,40.71623558,73.99998019,10013,10013
130,54,MANHATTAN,11I,2390,2018-06-20 00:00:00,11,I,40.72183817,74.00064149,10013,10013
131,38,MANHATTAN,9G,2515,2018-06-20 00:00:00,9,G,40.72081422,74.01086909,10013,10013
132,47,MANHATTAN,10I,3555,2018-06-20 00:00:00,10,I,40.71979998,74.00212566,10013,10013
133,46,MANHATTAN,10H,4500,2018-06-20 00:00:00,10,H,40.72132619,74.00575529,10013,10013
134,33,MANHATTAN,8H,6855,2018-06-20 00:00:00,8,H,40.71724982,74.00872362,10013,10013
135,102,MANHATTAN,16D,40,2018-06-20 00:00:00,16,D,40.73966018,74.01136884,10014,10014
136,113,MANHATTAN,17D,115,2018-06-20 00:00:00,17,D,40.74169837,74.00988467,10014,10014
137,81,MANHATTAN,14E,335,2018-06-20 00:00:00,14,E,40.73405759,74.01070753,10014,10014
138,104,MANHATTAN,16F,565,2018-06-20 00:00:00,16,F,40.73660775,74.00410957,10014,10014
139,92,MANHATTAN,15E,620,2018-06-20 00:00:00,15,E,40.73609578,74.00922337,10014,10014
140,93,MANHATTAN,15F,685,2018-06-20 00:00:00,15,F,40.73456957,74.00559374,10014,10014
141,82,MANHATTAN,14F,840,2018-06-20 00:00:00,14,F,40.73253138,74.0070779,10014,10014
142,72,MANHATTAN,13G,1020,2018-06-20 00:00:00,13,G,40.72896697,74.00493243,10014,10014
143,83,MANHATTAN,14G,1045,2018-06-20 00:00:00,14,G,40.73100516,74.00344827,10014,10014
144,103,MANHATTAN,16E,1050,2018-06-20 00:00:00,16,E,40.73813397,74.0077392,10014,10014
145,115,MANHATTAN,17F,1245,2018-06-20 00:00:00,17,F,40.73864594,74.00262541,10014,10014
146,94,MANHATTAN,15G,1340,2018-06-20 00:00:00,15,G,40.73304335,74.0019641,10014,10014
147,61,MANHATTAN,12F,1405,2018-06-20 00:00:00,12,F,40.728455,74.01004623,10014,10014
148,105,MANHATTAN,16G,1470,2018-06-20 00:00:00,16,G,40.73508154,74.00047994,10014,10014
149,52,MANHATTAN,11G,1890,2018-06-20 00:00:00,11,G,40.7248906,74.00790076,10014,10014
150,71,MANHATTAN,13F,1955,2018-06-20 00:00:00,13,F,40.73049319,74.00856206,10014,10014
151,114,MANHATTAN,17E,2145,2018-06-20 00:00:00,17,E,40.74017216,74.00625504,10014,10014
152,74,MANHATTAN,13I,2350,2018-06-20 00:00:00,13,I,40.72591455,73.99767316,10014,10014
153,62,MANHATTAN,12G,4530,2018-06-20 00:00:00,12,G,40.72692879,74.0064166,10014,10014
154,21,MANHATTAN,6H,5395,2018-06-20 00:00:00,6,H,40.71317344,74.01169195,10014,10014
155,183,MANHATTAN,23J,1930,2018-06-20 00:00:00,23,J,40.74477022,73.97920189,10016,10016
156,175,MANHATTAN,22L,1975,2018-06-20 00:00:00,22,L,40.73967961,73.97342679,10016,10016
157,173,MANHATTAN,22J,2090,2018-06-20 00:00:00,22,J,40.74273203,73.98068605,10016,10016
158,193,MANHATTAN,24J,2700,2018-06-20 00:00:00,24,J,40.74680841,73.97771772,10016,10016
159,184,MANHATTAN,23K,2850,2018-06-20 00:00:00,23,K,40.74324401,73.97557226,10016,10016
160,174,MANHATTAN,22K,3180,2018-06-20 00:00:00,22,K,40.74120582,73.97705642,10016,10016
161,192,MANHATTAN,24I,3715,2018-06-20 00:00:00,24,I,40.74833463,73.98134736,10016,10016
162,202,MANHATTAN,25I,4240,2018-06-20 00:00:00,25,I,40.75037281,73.97986319,10016,10016
163,204,MANHATTAN,25K,4340,2018-06-20 00:00:00,25,K,40.74732039,73.97260393,10016,10016
164,182,MANHATTAN,23I,4905,2018-06-20 00:00:00,23,I,40.74629644,73.98283152,10016,10016
165,172,MANHATTAN,22I,4950,2018-06-20 00:00:00,22,I,40.74425825,73.98431569,10016,10016
166,203,MANHATTAN,25J,5490,2018-06-20 00:00:00,25,J,40.7488466,73.97623356,10016,10016
167,214,MANHATTAN,26L,145,2018-06-20 00:00:00,26,L,40.74783236,73.96749013,10017,10017
168,195,MANHATTAN,24L,485,2018-06-20 00:00:00,24,L,40.74375599,73.97045846,10017,10017
169,232,MANHATTAN,28K,3000,2018-06-20 00:00:00,28,K,40.75343495,73.96815143,10017,10017
170,213,MANHATTAN,26K,3135,2018-06-20 00:00:00,26,K,40.74935858,73.97111976,10017,10017
171,223,MANHATTAN,27K,5170,2018-06-20 00:00:00,27,K,40.75139677,73.9696356,10017,10017
172,212,MANHATTAN,26J,6515,2018-06-20 00:00:00,26,J,40.75088479,73.9747494,10017,10017
173,231,MANHATTAN,28J,6720,2018-06-20 00:00:00,28,J,40.75496117,73.97178107,10017,10017
174,222,MANHATTAN,27J,7310,2018-06-20 00:00:00,27,J,40.75292298,73.97326523,10017,10017
175,211,MANHATTAN,26I,7780,2018-06-20 00:00:00,26,I,40.752411,73.97837903,10017,10017
176,230,MANHATTAN,28I,9835,2018-06-20 00:00:00,28,I,40.75648738,73.9754107,10017,10017
177,196,MANHATTAN,25C,95,2018-06-20 00:00:00,25,C,40.75953009,74.00164099,10018,10018
178,197,MANHATTAN,25D,1055,2018-06-20 00:00:00,25,D,40.75800388,73.99801136,10018,10018
