Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
MANHATTAN,41J,1730,2018/6/20
MANHATTAN,42J,1690,2018/6/20
MANHATTAN,43J,1965,2018/6/20
MANHATTAN,44J,571,2018/6/20
MANHATTAN,45J,815,2018/6/20
MANHATTAN,46J,410,2018/6/20
MANHATTAN,47J,625,2018/6/20
MANHATTAN,48J,425,2018/6/20
MANHATTAN,49J,860,2018/6/20
MANHATTAN,32N,80,2018/6/20
MANHATTAN,33N,150,2018/6/20
MANHATTAN,34N,450,2018/6/20
MANHATTAN,35N,,
MANHATTAN,36N,300,2018/6/20
MANHATTAN,37N,100,2018/6/20
MANHATTAN,38N,170,2018/6/20
MANHATTAN,39N,140,2018/6/20
MANHATTAN,45M,,
MANHATTAN,45N,,
MANHATTAN,45O,,
MANHATTAN,45P,,
MANHATTAN,46M,,
MANHATTAN,46N,,
MANHATTAN,49K,1055,2018/6/20
MANHATTAN,50K,405,2018/6/20
MANHATTAN,36K,2340,2018/6/20
MANHATTAN,37K,1910,2018/6/20
MANHATTAN,31L,1020,2018/6/20
MANHATTAN,32L,1355,2018/6/20
MANHATTAN,33L,2375,2018/6/20
MANHATTAN,34L,4160,2018/6/20
MANHATTAN,47I,390,2018/6/20
MANHATTAN,48I,850,2018/6/20
MANHATTAN,49I,645,2018/6/20
MANHATTAN,38K,1940,2018/6/20
MANHATTAN,39K,1650,2018/6/20
MANHATTAN,40K,1495,2018/6/20
MANHATTAN,41K,1835,2018/6/20
MANHATTAN,42K,1590,2018/6/20
MANHATTAN,43K,475,2018/6/20
MANHATTAN,44K,1540,2018/6/20
MANHATTAN,45K,940,2018/6/20
MANHATTAN,46K,1010,2018/6/20
MANHATTAN,47K,1220,2018/6/20
MANHATTAN,48K,545,2018/6/20
MANHATTAN,35L,5440,2018/6/20
MANHATTAN,36L,1010,2018/6/20
MANHATTAN,37L,1125,2018/6/20
MANHATTAN,32M,160,2018/6/20
MANHATTAN,33M,80,2018/6/20
MANHATTAN,34M,500,2018/6/20
MANHATTAN,35M,175,2018/6/20
MANHATTAN,36M,480,2018/6/20
MANHATTAN,37M,40,2018/6/20
MANHATTAN,46O,,
MANHATTAN,46P,,
MANHATTAN,47M,,
MANHATTAN,47N,,
MANHATTAN,47O,,
MANHATTAN,47P,,
MANHATTAN,48N,,
MANHATTAN,48O,,
MANHATTAN,48P,,
MANHATTAN,49N,,
MANHATTAN,49O,,
MANHATTAN,49P,,
MANHATTAN,50N,,
MANHATTAN,50O,,
MANHATTAN,50P,,
MANHATTAN,51N,,
MANHATTAN,51O,,
MANHATTAN,51P,,
MANHATTAN,52N,295,2018/6/20
MANHATTAN,52O,,
MANHATTAN,52P,,
MANHATTAN,53O,,
MANHATTAN,53P,,
MANHATTAN,38M,440,2018/6/20
MANHATTAN,39M,600,2018/6/20
MANHATTAN,40M,380,2018/6/20
MANHATTAN,41M,100,2018/6/20
MANHATTAN,42M,,
MANHATTAN,48M,,
MANHATTAN,49M,,
MANHATTAN,50M,,
MANHATTAN,51M,,
MANHATTAN,30J,4760,2018/6/20
MANHATTAN,31J,5740,2018/6/20
MANHATTAN,32J,1620,2018/6/20
MANHATTAN,33J,3105,2018/6/20
MANHATTAN,34J,2375,2018/6/20
MANHATTAN,35J,2040,2018/6/20
MANHATTAN,36J,1415,2018/6/20
MANHATTAN,37J,1375,2018/6/20
MANHATTAN,30K,3100,2018/6/20
MANHATTAN,31K,1770,2018/6/20
MANHATTAN,32K,1875,2018/6/20
MANHATTAN,33K,2425,2018/6/20
MANHATTAN,34K,2790,2018/6/20
MANHATTAN,35K,2825,2018/6/20
MANHATTAN,16C,,
MANHATTAN,17C,,
MANHATTAN,18C,,
MANHATTAN,19C,,
MANHATTAN,20C,40,2018/6/20
MANHATTAN,21C,2255,2018/6/20
MANHATTAN,22C,545,2018/6/20
MANHATTAN,23C,65,2018/6/20
MANHATTAN,24C,70,2018/6/20
MANHATTAN,25C,95,2018/6/20
MANHATTAN,18B,,
MANHATTAN,19B,,
MANHATTAN,20B,,
MANHATTAN,21B,,
MANHATTAN,22B,,
MANHATTAN,23B,,
MANHATTAN,24B,,
MANHATTAN,25B,,
MANHATTAN,10I,3555,2018/6/20
MANHATTAN,11I,2390,2018/6/20
MANHATTAN,12I,3905,2018/6/20
MANHATTAN,13I,2350,2018/6/20
MANHATTAN,14I,2270,2018/6/20
MANHATTAN,15I,2194,2018/6/20
MANHATTAN,16I,2250,2018/6/20
MANHATTAN,17I,2950,2018/6/20
MANHATTAN,18I,3495,2018/6/20
MANHATTAN,19I,3435,2018/6/20
MANHATTAN,13D,,
MANHATTAN,14D,,
MANHATTAN,15D,,
MANHATTAN,16D,40,2018/6/20
MANHATTAN,17D,115,2018/6/20
MANHATTAN,18D,2930,2018/6/20
MANHATTAN,19D,2275,2018/6/20
MANHATTAN,20D,1090,2018/6/20
MANHATTAN,21D,580,2018/6/20
MANHATTAN,22D,1570,2018/6/20
MANHATTAN,23D,1130,2018/6/20
MANHATTAN,24D,730,2018/6/20
MANHATTAN,25D,1055,2018/6/20
MANHATTAN,26D,2530,2018/6/20
MANHATTAN,9E,,
MANHATTAN,8F,,
MANHATTAN,10G,1800,2018/6/20
MANHATTAN,11G,1890,2018/6/20
MANHATTAN,12G,4530,2018/6/20
MANHATTAN,13G,1020,2018/6/20
MANHATTAN,14G,1045,2018/6/20
MANHATTAN,15G,1340,2018/6/20
MANHATTAN,16G,1470,2018/6/20
MANHATTAN,17G,1795,2018/6/20
MANHATTAN,18G,1760,2018/6/20
MANHATTAN,19G,1970,2018/6/20
MANHATTAN,20G,2495,2018/6/20
MANHATTAN,10E,,
MANHATTAN,11E,,
MANHATTAN,12E,,
MANHATTAN,13E,,
MANHATTAN,14E,335,2018/6/20
MANHATTAN,15E,620,2018/6/20
MANHATTAN,16E,1050,2018/6/20
MANHATTAN,17E,2145,2018/6/20
MANHATTAN,18E,5365,2018/6/20
MANHATTAN,19E,470,2018/6/20
MANHATTAN,20E,1250,2018/6/20
MANHATTAN,21E,855,2018/6/20
MANHATTAN,22E,1935,2018/6/20
MANHATTAN,23E,1655,2018/6/20
MANHATTAN,24E,1990,2018/6/20
MANHATTAN,25E,1770,2018/6/20
MANHATTAN,26E,2730,2018/6/20
MANHATTAN,27E,1520,2018/6/20
MANHATTAN,9G,2515,2018/6/20
MANHATTAN,9H,2250,2018/6/20
MANHATTAN,20I,5485,2018/6/20
MANHATTAN,21I,4685,2018/6/20
MANHATTAN,22I,4950,2018/6/20
MANHATTAN,23I,4905,2018/6/20
MANHATTAN,24I,3715,2018/6/20
MANHATTAN,25I,4240,2018/6/20
MANHATTAN,26I,7780,2018/6/20
MANHATTAN,27I,6715,2018/6/20
MANHATTAN,28I,9835,2018/6/20
MANHATTAN,29I,6470,2018/6/20
MANHATTAN,30I,7815,2018/6/20
MANHATTAN,21G,5005,2018/6/20
