Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
BRONX,31H,90,6/20/2018
BRONX,16U,281,6/20/2018
BRONX,17U,160,6/20/2018
BRONX,18U,200,6/20/2018
BRONX,19U,,
BRONX,20U,,
BRONX,21U,,
BRONX,22U,30,6/20/2018
BRONX,23U,50,6/20/2018
BRONX,24U,,
BRONX,25U,,
BRONX,26U,,
BRONX,27U,200,6/20/2018
BRONX,28U,,
BRONX,29U,,
BRONX,30U,65,6/20/2018
BRONX,31U,100,6/20/2018
BRONX,32U,35,6/20/2018
BRONX,33U,110,6/20/2018
BRONX,28AG,,
BRONX,32AG,,
BRONX,25AH,,
BRONX,28AH,,
BRONX,30AH,,
BRONX,16V,145,6/20/2018
BRONX,17V,575,6/20/2018
BRONX,18V,325,6/20/2018
BRONX,19V,110,6/20/2018
BRONX,20V,430,6/20/2018
BRONX,21V,205,6/20/2018
BRONX,22V,870,6/20/2018
BRONX,24AJ,,
BRONX,25AJ,,
BRONX,27AC,,
BRONX,28AC,,
BRONX,28AE,,
BRONX,28AF,,
BRONX,25S,110,6/20/2018
BRONX,26S,60,6/20/2018
BRONX,27S,105,6/20/2018
BRONX,28S,60,6/20/2018
BRONX,29S,,
BRONX,30S,,
BRONX,31S,,
BRONX,32S,,
BRONX,33S,40,6/20/2018
BRONX,16T,475,6/20/2018
BRONX,20T,,
BRONX,21T,,
BRONX,22T,,
BRONX,23T,,
BRONX,24T,,
BRONX,25T,,
BRONX,26T,,
BRONX,27T,50,6/20/2018
BRONX,28T,,
BRONX,29T,,
BRONX,30T,,
BRONX,31T,140,6/20/2018
BRONX,32T,,
BRONX,33T,,
BRONX,16X,,
BRONX,17X,,
BRONX,18X,70,6/20/2018
BRONX,19X,25,6/20/2018
BRONX,20X,,
BRONX,21X,,
BRONX,24X,,
BRONX,25X,,
BRONX,26X,,
BRONX,27X,,
BRONX,31X,,
BRONX,32X,,
BRONX,16Y,,
BRONX,17Y,,
BRONX,18Y,,
BRONX,19Y,15,6/20/2018
BRONX,20Y,320,6/20/2018
BRONX,16M,145,6/20/2018
BRONX,17M,95,6/20/2018
BRONX,18M,280,6/20/2018
BRONX,19M,515,6/20/2018
BRONX,20M,690,6/20/2018
BRONX,21M,360,6/20/2018
BRONX,22M,195,6/20/2018
BRONX,23V,425,6/20/2018
BRONX,24V,230,6/20/2018
BRONX,25V,815,6/20/2018
BRONX,26V,,
BRONX,27V,,
BRONX,28V,,
BRONX,29V,,
BRONX,30V,,
BRONX,31V,,
BRONX,32V,,
BRONX,33V,95,6/20/2018
BRONX,16N,295,6/20/2018
BRONX,17N,80,6/20/2018
BRONX,18N,90,6/20/2018
BRONX,19N,355,6/20/2018
BRONX,20N,690,6/20/2018
BRONX,21N,220,6/20/2018
BRONX,16W,,
BRONX,17W,,
BRONX,18W,195,6/20/2018
BRONX,19W,,
BRONX,20W,,
BRONX,21W,725,6/20/2018
BRONX,22W,775,6/20/2018
BRONX,23W,180,6/20/2018
BRONX,24W,445,6/20/2018
BRONX,25W,,
BRONX,26W,,
BRONX,27W,,
BRONX,28W,,
BRONX,29W,,
BRONX,30W,,
BRONX,26Y,,
BRONX,27Y,,
BRONX,28Y,,
BRONX,29Y,,
BRONX,30Y,,
BRONX,31Y,,
BRONX,32Y,,
BRONX,26Z,,
BRONX,27Z,,
BRONX,28Z,,
BRONX,29Z,,
BRONX,30Z,,
