ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip
40,BRONX,6B,585,6/20/2018,6,B,40.80983469,73.92719429,10454
42,BRONX,6D,610,6/20/2018,6,D,40.81014619,73.91886776,10454
20,BRONX,4E,615,6/20/2018,4,E,40.80566711,73.91441959,10454
30,BRONX,5E,650,6/20/2018,5,E,40.80798452,73.91456204,10454
29,BRONX,5D,900,6/20/2018,5,D,40.80782877,73.91872531,10454
54,BRONX,7C,920,6/20/2018,7,C,40.81230785,73.92317348,10454
33,BRONX,5H,30,6/20/2018,5,H,40.80845177,73.90207225,10455
46,BRONX,6H,195,6/20/2018,6,H,40.81076918,73.9022147,10455
23,BRONX,4H,310,6/20/2018,4,H,40.80613435,73.90192979,10455
59,BRONX,7H,310,6/20/2018,7,H,40.81308659,73.90235715,10455
75,BRONX,8H,340,6/20/2018,8,H,40.815404,73.90249961,10455
91,BRONX,9I,345,6/20/2018,9,I,40.81787716,73.89847879,10455
45,BRONX,6G,365,6/20/2018,6,G,40.81061343,73.90637797,10455
73,BRONX,8F,366,6/20/2018,8,F,40.81509251,73.91082614,10455
87,BRONX,9E,370,6/20/2018,9,E,40.81725417,73.91513186,10455
57,BRONX,7F,400,6/20/2018,7,F,40.8127751,73.91068368,10455
76,BRONX,8I,420,6/20/2018,8,I,40.81555975,73.89833634,10455
110,BRONX,10E,420,6/20/2018,10,E,40.81957158,73.91527431,10455
88,BRONX,9F,425,6/20/2018,9,F,40.81740992,73.91096859,10455
89,BRONX,9G,455,6/20/2018,9,G,40.81756567,73.90680533,10455
71,BRONX,8D,525,6/20/2018,8,D,40.81478101,73.91915267,10455
56,BRONX,7E,550,6/20/2018,7,E,40.81261935,73.91484695,10455
74,BRONX,8G,555,6/20/2018,8,G,40.81524826,73.90666287,10455
72,BRONX,8E,560,6/20/2018,8,E,40.81493676,73.9149894,10455
158,BRONX,12F,570,6/20/2018,12,F,40.82436216,73.91139595,10455
90,BRONX,9H,720,6/20/2018,9,H,40.81772142,73.90264206,10455
58,BRONX,7G,1035,6/20/2018,7,G,40.81293084,73.90652042,10455
85,BRONX,9C,1735,6/20/2018,9,C,40.81694267,73.92345839,10455
112,BRONX,10G,90,6/20/2018,10,G,40.81988308,73.90694778,10456
160,BRONX,12H,135,6/20/2018,12,H,40.82467365,73.90306942,10456
244,BRONX,16I,190,6/20/2018,16,I,40.83409905,73.89947597,10456
202,BRONX,14I,195,6/20/2018,14,I,40.82946423,73.89919106,10456
199,BRONX,14F,215,6/20/2018,14,F,40.82899698,73.91168086,10456
241,BRONX,16F,232,6/20/2018,16,F,40.83363181,73.91196576,10456
201,BRONX,14H,240,6/20/2018,14,H,40.82930848,73.90335432,10456
178,BRONX,13F,255,6/20/2018,13,F,40.82667957,73.9115384,10456
200,BRONX,14G,280,6/20/2018,14,G,40.82915273,73.90751759,10456
263,BRONX,17G,295,6/20/2018,17,G,40.83610497,73.90794495,10456
282,BRONX,18F,320,6/20/2018,18,F,40.83826663,73.91225067,10456
264,BRONX,17H,335,6/20/2018,17,H,40.83626071,73.90378168,10456
218,BRONX,15E,360,6/20/2018,15,E,40.83115864,73.91598657,10456
261,BRONX,17E,363,6/20/2018,17,E,40.83579347,73.91627148,10456
198,BRONX,14E,390,6/20/2018,14,E,40.82884123,73.91584412,10456
262,BRONX,17F,409,6/20/2018,17,F,40.83594922,73.91210822,10456
136,BRONX,11G,410,6/20/2018,11,G,40.82220049,73.90709023,10456
283,BRONX,18G,420,6/20/2018,18,G,40.83842238,73.9080874,10456
222,BRONX,15I,440,6/20/2018,15,I,40.83178164,73.89933351,10456
240,BRONX,16E,450,6/20/2018,16,E,40.83347606,73.91612903,10456
179,BRONX,13G,490,6/20/2018,13,G,40.82683532,73.90737514,10456
137,BRONX,11H,500,6/20/2018,11,H,40.82235624,73.90292697,10456
220,BRONX,15G,580,6/20/2018,15,G,40.83147014,73.90766004,10456
159,BRONX,12G,630,6/20/2018,12,G,40.8245179,73.90723268,10456
180,BRONX,13H,635,6/20/2018,13,H,40.82699107,73.90321187,10456
242,BRONX,16G,670,6/20/2018,16,G,40.83378755,73.9078025,10456
243,BRONX,16H,820,6/20/2018,16,H,40.8339433,73.90363923,10456
221,BRONX,15H,960,6/20/2018,15,H,40.83162589,73.90349678,10456
217,BRONX,15D,975,6/20/2018,15,D,40.8310029,73.92014984,10456
219,BRONX,15F,1010,6/20/2018,15,F,40.83131439,73.91182331,10456
326,BRONX,20J,30,6/20/2018,20,J,40.84352445,73.89588251,10457
265,BRONX,17I,115,6/20/2018,17,I,40.83641646,73.89961842,10457
341,BRONX,21I,145,6/20/2018,21,I,40.84568611,73.90018823,10457
364,BRONX,22L,170,6/20/2018,22,L,40.84847077,73.88784089,10457
361,BRONX,22H,175,6/20/2018,22,H,40.84784778,73.90449395,10457
362,BRONX,22I,175,6/20/2018,22,I,40.84800352,73.90033068,10457
363,BRONX,22J,175,6/20/2018,22,J,40.84815927,73.89616742,10457
381,BRONX,23J,210,6/20/2018,23,J,40.85047668,73.89630987,10457
340,BRONX,21H,230,6/20/2018,21,H,40.84553036,73.9043515,10457
285,BRONX,18I,235,6/20/2018,18,I,40.83873387,73.89976087,10457
323,BRONX,20G,240,6/20/2018,20,G,40.8430572,73.90837231,10457
324,BRONX,20H,250,6/20/2018,20,H,40.84321295,73.90420904,10457
339,BRONX,21G,255,6/20/2018,21,G,40.84537461,73.90851476,10457
382,BRONX,23K,260,6/20/2018,23,K,40.85063243,73.89214661,10457
383,BRONX,23L,260,6/20/2018,23,L,40.85078818,73.88798334,10457
342,BRONX,21J,265,6/20/2018,21,J,40.84584186,73.89602497,10457
413,BRONX,25J,270,6/20/2018,25,J,40.85511151,73.89659478,10457
397,BRONX,24H,295,6/20/2018,24,H,40.8524826,73.90477886,10457
380,BRONX,23I,300,6/20/2018,23,I,40.85032094,73.90047314,10457
379,BRONX,23H,315,6/20/2018,23,H,40.85016519,73.9046364,10457
325,BRONX,20I,322,6/20/2018,20,I,40.8433687,73.90004578,10457
412,BRONX,25I,325,6/20/2018,25,I,40.85495576,73.90075804,10457
303,BRONX,19F,376,6/20/2018,19,F,40.84058404,73.91239312,10457
304,BRONX,19H,405,6/20/2018,19,H,40.84089554,73.90406659,10457
284,BRONX,18H,435,6/20/2018,18,H,40.83857813,73.90392414,10457
327,BRONX,20K,475,6/20/2018,20,K,40.8436802,73.89171925,10457
398,BRONX,24I,510,6/20/2018,24,I,40.85263835,73.90061559,10457
399,BRONX,24K,530,6/20/2018,24,K,40.85294984,73.89228906,10457
305,BRONX,19I,560,6/20/2018,19,I,40.84105129,73.89990332,10457
343,BRONX,21K,570,6/20/2018,21,K,40.84599761,73.8918617,10457
344,BRONX,21L,915,6/20/2018,21,L,40.84615336,73.88769843,10457
418,BRONX,25P,30,6/20/2018,25,P,40.856046,73.87161518,10458
417,BRONX,25N,80,6/20/2018,25,N,40.8557345,73.87994172,10458
431,BRONX,26M,110,6/20/2018,26,M,40.85789617,73.88424743,10458
540,BRONX,35M,170,6/20/2018,35,M,40.87875288,73.88552951,10458
476,BRONX,30M,175,6/20/2018,30,M,40.86716581,73.88481725,10458
400,BRONX,24L,190,6/20/2018,24,L,40.85310559,73.88812579,10458
477,BRONX,30N,190,6/20/2018,30,N,40.86732156,73.88065398,10458
