,ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip,ZCTA
163,220.0,BRONX,15G,580.0,6/20/2018,15.0,G,40.83147014,73.90766004,10456.0,10456
164,159.0,BRONX,12G,630.0,6/20/2018,12.0,G,40.8245179,73.90723268,10456.0,10456
165,180.0,BRONX,13H,635.0,6/20/2018,13.0,H,40.82699107,73.90321187,10456.0,10456
166,242.0,BRONX,16G,670.0,6/20/2018,16.0,G,40.83378755,73.9078025,10456.0,10456
167,243.0,BRONX,16H,820.0,6/20/2018,16.0,H,40.8339433,73.90363923,10456.0,10456
168,221.0,BRONX,15H,960.0,6/20/2018,15.0,H,40.83162589,73.90349678,10456.0,10456
169,217.0,BRONX,15D,975.0,6/20/2018,15.0,D,40.8310029,73.92014984,10456.0,10456
170,219.0,BRONX,15F,1010.0,6/20/2018,15.0,F,40.83131439,73.91182331,10456.0,10456
171,326.0,BRONX,20J,30.0,6/20/2018,20.0,J,40.84352445,73.89588251,10457.0,10457
172,265.0,BRONX,17I,115.0,6/20/2018,17.0,I,40.83641646,73.89961842,10457.0,10457
173,341.0,BRONX,21I,145.0,6/20/2018,21.0,I,40.84568611,73.90018823,10457.0,10457
174,364.0,BRONX,22L,170.0,6/20/2018,22.0,L,40.84847077,73.88784089,10457.0,10457
175,361.0,BRONX,22H,175.0,6/20/2018,22.0,H,40.84784778,73.90449395,10457.0,10457
176,362.0,BRONX,22I,175.0,6/20/2018,22.0,I,40.84800352,73.90033068,10457.0,10457
177,363.0,BRONX,22J,175.0,6/20/2018,22.0,J,40.84815927,73.89616742,10457.0,10457
178,381.0,BRONX,23J,210.0,6/20/2018,23.0,J,40.85047668,73.89630987,10457.0,10457
179,340.0,BRONX,21H,230.0,6/20/2018,21.0,H,40.84553036,73.9043515,10457.0,10457
180,285.0,BRONX,18I,235.0,6/20/2018,18.0,I,40.83873387,73.89976087,10457.0,10457
181,323.0,BRONX,20G,240.0,6/20/2018,20.0,G,40.8430572,73.90837231,10457.0,10457
182,324.0,BRONX,20H,250.0,6/20/2018,20.0,H,40.84321295,73.90420904,10457.0,10457
183,339.0,BRONX,21G,255.0,6/20/2018,21.0,G,40.84537461,73.90851476,10457.0,10457
184,382.0,BRONX,23K,260.0,6/20/2018,23.0,K,40.85063243,73.89214661,10457.0,10457
185,383.0,BRONX,23L,260.0,6/20/2018,23.0,L,40.85078818,73.88798334,10457.0,10457
186,342.0,BRONX,21J,265.0,6/20/2018,21.0,J,40.84584186,73.89602497,10457.0,10457
187,413.0,BRONX,25J,270.0,6/20/2018,25.0,J,40.85511151,73.89659478,10457.0,10457
188,397.0,BRONX,24H,295.0,6/20/2018,24.0,H,40.8524826,73.90477886,10457.0,10457
189,380.0,BRONX,23I,300.0,6/20/2018,23.0,I,40.85032094,73.90047314,10457.0,10457
190,379.0,BRONX,23H,315.0,6/20/2018,23.0,H,40.85016519,73.9046364,10457.0,10457
191,325.0,BRONX,20I,322.0,6/20/2018,20.0,I,40.8433687,73.90004578,10457.0,10457
192,412.0,BRONX,25I,325.0,6/20/2018,25.0,I,40.85495576,73.90075804,10457.0,10457
193,303.0,BRONX,19F,376.0,6/20/2018,19.0,F,40.84058404,73.91239312,10457.0,10457
194,304.0,BRONX,19H,405.0,6/20/2018,19.0,H,40.84089554,73.90406659,10457.0,10457
195,284.0,BRONX,18H,435.0,6/20/2018,18.0,H,40.83857813,73.90392414,10457.0,10457
196,327.0,BRONX,20K,475.0,6/20/2018,20.0,K,40.8436802,73.89171925,10457.0,10457
197,398.0,BRONX,24I,510.0,6/20/2018,24.0,I,40.85263835,73.90061559,10457.0,10457
198,399.0,BRONX,24K,530.0,6/20/2018,24.0,K,40.85294984,73.89228906,10457.0,10457
199,305.0,BRONX,19I,560.0,6/20/2018,19.0,I,40.84105129,73.89990332,10457.0,10457
200,343.0,BRONX,21K,570.0,6/20/2018,21.0,K,40.84599761,73.8918617,10457.0,10457
201,344.0,BRONX,21L,915.0,6/20/2018,21.0,L,40.84615336,73.88769843,10457.0,10457
202,418.0,BRONX,25P,30.0,6/20/2018,25.0,P,40.856046,73.87161518,10458.0,10458
203,417.0,BRONX,25N,80.0,6/20/2018,25.0,N,40.8557345,73.87994172,10458.0,10458
204,431.0,BRONX,26M,110.0,6/20/2018,26.0,M,40.85789617,73.88424743,10458.0,10458
205,540.0,BRONX,35M,170.0,6/20/2018,35.0,M,40.87875288,73.88552951,10458.0,10458
206,476.0,BRONX,30M,175.0,6/20/2018,30.0,M,40.86716581,73.88481725,10458.0,10458
207,400.0,BRONX,24L,190.0,6/20/2018,24.0,L,40.85310559,73.88812579,10458.0,10458
208,477.0,BRONX,30N,190.0,6/20/2018,30.0,N,40.86732156,73.88065398,10458.0,10458
209,500.0,BRONX,32N,195.0,6/20/2018,32.0,N,40.87195639,73.88093889,10458.0,10458
210,487.0,BRONX,31M,210.0,6/20/2018,31.0,M,40.86948323,73.8849597,10458.0,10458
211,414.0,BRONX,25K,215.0,6/20/2018,25.0,K,40.85526726,73.89243151,10458.0,10458
212,430.0,BRONX,26L,225.0,6/20/2018,26.0,L,40.85774042,73.8884107,10458.0,10458
213,486.0,BRONX,31L,225.0,6/20/2018,31.0,L,40.86932748,73.88912296,10458.0,10458
214,511.0,BRONX,33M,225.0,6/20/2018,33.0,M,40.87411805,73.88524461,10458.0,10458
215,429.0,BRONX,26K,255.0,6/20/2018,26.0,K,40.85758467,73.89257397,10458.0,10458
216,510.0,BRONX,33L,260.0,6/20/2018,33.0,L,40.8739623,73.88940787,10458.0,10458
217,416.0,BRONX,25M,265.0,6/20/2018,25.0,M,40.85557875,73.88410498,10458.0,10458
218,428.0,BRONX,26J,275.0,6/20/2018,26.0,J,40.85742892,73.89673723,10458.0,10458
219,525.0,BRONX,34M,280.0,6/20/2018,34.0,M,40.87643546,73.88538706,10458.0,10458
220,401.0,BRONX,24M,285.0,6/20/2018,24.0,M,40.85326134,73.88396253,10458.0,10458
221,443.0,BRONX,27L,285.0,6/20/2018,27.0,L,40.86005783,73.88855315,10458.0,10458
222,499.0,BRONX,32M,290.0,6/20/2018,32.0,M,40.87180064,73.88510215,10458.0,10458
223,467.0,BRONX,29L,295.0,6/20/2018,29.0,L,40.86469265,73.88883806,10458.0,10458
224,488.0,BRONX,31N,295.0,6/20/2018,31.0,N,40.86963898,73.88079643,10458.0,10458
225,466.0,BRONX,29K,310.0,6/20/2018,29.0,K,40.86453691,73.89300132,10458.0,10458
226,475.0,BRONX,30L,310.0,6/20/2018,30.0,L,40.86701007,73.88898051,10458.0,10458
227,553.0,BRONX,36M,325.0,6/20/2018,36.0,M,40.88107029,73.88567196,10458.0,10458
228,415.0,BRONX,25L,405.0,6/20/2018,25.0,L,40.85542301,73.88826825,10458.0,10458
229,474.0,BRONX,30K,425.0,6/20/2018,30.0,K,40.86685432,73.89314378,10458.0,10458
230,442.0,BRONX,27K,525.0,6/20/2018,27.0,K,40.85990208,73.89271642,10458.0,10458
231,441.0,BRONX,27J,555.0,6/20/2018,27.0,J,40.85974633,73.89687968,10458.0,10458
232,456.0,BRONX,28K,625.0,6/20/2018,28.0,K,40.86221949,73.89285887,10458.0,10458
233,455.0,BRONX,28J,815.0,6/20/2018,28.0,J,40.86206375,73.89702214,10458.0,10458
234,457.0,BRONX,28M,940.0,6/20/2018,28.0,M,40.86253099,73.88453234,10458.0,10458
235,204.0,BRONX,14L,75.0,6/20/2018,14.0,L,40.82993147,73.88670126,10459.0,10459
236,141.0,BRONX,11L,120.0,6/20/2018,11.0,L,40.82297923,73.8862739,10459.0,10459
237,224.0,BRONX,15K,135.0,6/20/2018,15.0,K,40.83209313,73.89100698,10459.0,10459
238,162.0,BRONX,12J,165.0,6/20/2018,12.0,J,40.82498515,73.89474289,10459.0,10459
239,182.0,BRONX,13J,320.0,6/20/2018,13.0,J,40.82730256,73.89488534,10459.0,10459
240,184.0,BRONX,13L,335.0,6/20/2018,13.0,L,40.82761406,73.88655881,10459.0,10459
241,92.0,BRONX,9J,340.0,6/20/2018,9.0,J,40.81803291,73.89431553,10459.0,10459
242,183.0,BRONX,13K,350.0,6/20/2018,13.0,K,40.82745831,73.89072208,10459.0,10459
243,139.0,BRONX,11J,410.0,6/20/2018,11.0,J,40.82266774,73.89460043,10459.0,10459
244,138.0,BRONX,11I,435.0,6/20/2018,11.0,I,40.82251199,73.8987637,10459.0,10459
245,113.0,BRONX,10H,495.0,6/20/2018,10.0,H,40.82003883,73.90278451,10459.0,10459
246,114.0,BRONX,10I,500.0,6/20/2018,10.0,I,40.82019458,73.89862125,10459.0,10459
247,203.0,BRONX,14K,510.0,6/20/2018,14.0,K,40.82977572,73.89086453,10459.0,10459
248,161.0,BRONX,12I,535.0,6/20/2018,12.0,I,40.8248294,73.89890615,10459.0,10459
249,181.0,BRONX,13I,645.0,6/20/2018,13.0,I,40.82714681,73.89904861,10459.0,10459
250,223.0,BRONX,15J,665.0,6/20/2018,15.0,J,40.83193739,73.89517025,10459.0,10459
251,115.0,BRONX,10J,715.0,6/20/2018,10.0,J,40.82035032,73.89445798,10459.0,10459
252,140.0,BRONX,11K,730.0,6/20/2018,11.0,K,40.82282349,73.89043717,10459.0,10459
253,347.0,BRONX,21P,15.0,6/20/2018,21.0,P,40.84677635,73.87104537,10460.0,10460
254,270.0,BRONX,17O,50.0,6/20/2018,17.0,O,40.83735095,73.87463883,10460.0,10460
255,366.0,BRONX,22P,50.0,6/20/2018,22.0,P,40.84909376,73.87118783,10460.0,10460
256,226.0,BRONX,15M,80.0,6/20/2018,15.0,M,40.83240463,73.88268045,10460.0,10460
257,246.0,BRONX,16K,80.0,6/20/2018,16.0,K,40.83441055,73.89114943,10460.0,10460
258,269.0,BRONX,17N,80.0,6/20/2018,17.0,N,40.8371952,73.87880209,10460.0,10460
259,288.0,BRONX,18N,90.0,6/20/2018,18.0,N,40.83951262,73.87894454,10460.0,10460
260,268.0,BRONX,17M,95.0,6/20/2018,17.0,M,40.83703946,73.88296536,10460.0,10460
261,307.0,BRONX,19L,100.0,6/20/2018,19.0,L,40.84151853,73.88741353,10460.0,10460
262,252.0,BRONX,16Q,140.0,6/20/2018,16.0,Q,40.83534504,73.86616984,10460.0,10460
263,271.0,BRONX,17P,140.0,6/20/2018,17.0,P,40.8375067,73.87047556,10460.0,10460
264,248.0,BRONX,16M,145.0,6/20/2018,16.0,M,40.83472204,73.8828229,10460.0,10460
265,289.0,BRONX,18O,185.0,6/20/2018,18.0,O,40.83966836,73.87478128,10460.0,10460
266,365.0,BRONX,22M,195.0,6/20/2018,22.0,M,40.84862652,73.88367762,10460.0,10460
267,286.0,BRONX,18L,215.0,6/20/2018,18.0,L,40.83920112,73.88727108,10460.0,10460
268,245.0,BRONX,16J,225.0,6/20/2018,16.0,J,40.8342548,73.8953127,10460.0,10460
269,266.0,BRONX,17K,230.0,6/20/2018,17.0,K,40.83672796,73.89129189,10460.0,10460
