Zip,Min.,Medium.,Max.,Med/TotPop,Tot_pop,Tot_Hisp/Lati,Tot_White,Tot_Black/AfricanAmer,Tot_AmerIndian,Tot_Asian,Tot_PacificIsla,Tot_Other,Tot_Two&More,Pro_Hisp/Lati,Pro_White,Pro_Black/AfricanAmer,Pro_AmerIndian,Pro_Asian,Pro_PacificIsla,Pro_Other,Pro_Two&More,Inc_Hisp/Lati,Error Range,Inc_White,Error Range,Inc_Black/AfricanAmer,Error Range,Inc_Asian,Error Range
10040,170,530,755,0.01,39879.46,26546.75,9118.91,1896.87,38.55,1070.36,10.61,327.27,870.16,67%,23%,5%,0%,3%,0%,1%,2%,37672,2852,66364,6684,43709,9326,62946,23958
10044,80,172.5,2250,0.04,4791.00,686.00,1512.00,585.00,108.00,1574.00,80.00,35.00,211.00,14%,32%,12%,2%,33%,2%,1%,4%,49520,29129,93352,22052,110224,81688,123547,17385
10065,160,2400,4160,0.07,32811.00,2232.42,24662.79,736.59,15.94,3730.81,16.39,215.64,1200.41,7%,75%,2%,0%,11%,0%,1%,4%,170833,119777,150993,14567,101643,50950,130625,41460
10069,690,1427.5,2225,0.21,6934.84,1017.76,3924.76,516.74,7.28,1136.62,3.63,50.35,277.70,15%,57%,7%,0%,16%,0%,1%,4%,0,**,129223,67975,0,**,193884,155847
10075,300,1250,3290,0.05,25844.12,1802.59,20284.07,378.10,10.62,2352.45,5.44,126.05,884.80,7%,78%,1%,0%,9%,0%,0%,3%,145998,81568,137719,22810,0,**,145759,62588
10128,415,1502.5,2035,0.02,65565.37,7066.83,45415.16,2718.48,24.81,7398.46,13.45,441.13,2487.06,11%,69%,4%,0%,11%,0%,1%,4%,69506,9894,123133,6261,51155,27928,162192,13867
10162,40,410,600,0.21,1909.03,149.71,1381.29,38.53,1.29,245.38,1.29,8.79,82.74,8%,72%,2%,0%,13%,0%,0%,4%,0,**,161083,141928,0,**,0,**
10280,180,520,1815,0.05,10658.75,848.50,6530.79,166.91,4.73,2444.78,5.00,77.10,580.93,8%,61%,2%,0%,23%,0%,1%,5%,184313,76003,183729,29487,161848,112779,132177,69481
10282,80,752.5,4245,0.16,4792.79,368.05,3147.65,87.71,0.00,843.47,1.64,25.41,318.86,8%,66%,2%,0%,18%,0%,1%,7%,0,**,"250,000",,0,**,"250,000",***
11109,15,15,15,0.00,8168.14,946.47,4322.69,281.13,1.34,2058.27,1.34,159.31,397.60,12%,53%,3%,0%,25%,0%,2%,5%,0,**,166971,41410,0,**,151698,65081
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
